Role,Dialogue
고객,하이패스 카드 발급 관련 문의드립니다.
상담사,하이패스 카드 가능만 있는 카드가 있나요?
고객,"네, 고객님 현재 보유 중인 저희 카드가 있으신가요?"
상담사,아니요.
고객,하나도 없습니다.
상담사,하이패스 카드는 추가 발급의 경우만 가능합니다.
고객,하이패스로만 쓸 수 있는 카드가 없는 건가요?
상담사,"있습니다만, 다른 신용카드를 보유하신 경우에만 추가로 발급해 드립니다."
고객,"아, 그렇군요."
상담사,그럼 일반 신용카드랑 함께 신청을 해야겠군요?
고객,그렇습니다.
상담사,연회비가 가장 싼 카드가 무엇인가요?
고객,연회비가 5000 원인 카드가 있습니다.
상담사,그거랑 함께 신청하면 되는 건가요?
고객,"네, 그렇게 하시면 신청 가능합니다."
상담사,혹시 그 신용카드를 한 번도 사용하지 않으면 문제가 되나요?
고객,발급 후 1년 간 사용 실적이 없으면.
상담사,자동으로 휴면 처리가 되시기 때문에 유의하셔야 합니다.
고객,"아, 그러면 하이패스 카드도 못 쓰게 되나요?"
상담사,"네, 그렇습니다."
고객,"네, 알겠습니다."
상담사,궁금하신 사항이 더 없으신가요?
고객,"네, 다른 방법을 알아봐야겠네요."
상담사,
