Role,Dialogue
고객,학자금 대출을 받고 싶은데 어떻게 해야 되나요?
상담사,학자금 대출 말씀이십니까?
고객,"고객님, 네, 인터넷으로 신청되나요?"
상담사,"네, 학자금 대출은 한국장학재단에서 취급하고 있습니다."
고객,한국장학재단 홈페이지에 접속하면 되나요?
상담사,"네, 고객님 대출메뉴를 통해."
고객,직접 신청 또는 전화 문의를 통한 상담 먼저 받으시기 바랍니다.
상담사,"공인인증서 필요해요 네, 고객님 공인인증서는 필수입니다."
고객,없으면 은행 가야 되나요?
상담사,가까운 은행을 방문하여 공인인증서 발급하여 한국장학재단 사이트를 통해 신청 가능합니다.
고객,대출 실행 후 취소되나요?
상담사,인터넷 취소는 불가능합니다.
고객,"고객님, 그럼 어떻게 해야 되나요?"
상담사,영업점에서 취소할 수 있으니 영업점에 연락하셔서 처리해 주시기 바랍니다.
고객,인터넷 뱅킹으로 대출금 중도 상환이 되나요?
상담사,중도 상환이 가능한 대출 과목이 따로 있습니다.
고객,학자금 대출은 해당되지 않으며 만기 시 상환하시거나 영업점에 방문하셔서 상환하시면 됩니다.
상담사,폰뱅킹으로도 대출이 되나요?
고객,폰뱅킹은 대출 조회 서비스만 가능합니다.
상담사,대출 상담은 어디서 해야 되나요?
고객,콜센터 0000 상담원 영번으로 문의 및 상담 바랍니다.
상담사,감사합니다.
고객,
