Role,Dialogue
고객,해외에서 거래한 건을 취소하고 싶은데 어떻게 해야 할까요?
상담사,"네, 고객님 도와드리겠습니다."
고객,해외에서 결제하신 건은 승인 취소를 하고 싶다는 말씀이시죠?
상담사,"네, 맞습니다."
고객,"고객님께서 직접 해당 가맹점에 전화, 이메일 등으로 취소를 요청하셔야 하며, 가맹점에서 취소 요청을 수락한 경우 팩스 또는 이메일 등으로."
상담사,취소 영수증을 받아 두셔야 합니다.
고객,아 카드사에서 처리해 주시는 게 아니라 본인이 직접 해야 합니까?
상담사,"네, 그렇습니다."
고객,아 당황스럽네요.
상담사,카드사에서 해주는 줄 알았어요.
고객,"변심으로 인한 취소는 가맹점으로 직접 문의 후 취소를 요청하는 것이 원칙이며, 당사에서 회원님을 대신하여."
상담사,가맹점에 취소를 요청하는 것은 불가합니다.
고객,그래도 제가 직접 해외 매장에 전화나 이메일로 대화하기가 어려운데 좀 도와주시면 안될까요?
상담사,고객님께서 변심으로 취소하는 경우에는 직접 취소 요청하시는 게 규칙이라서요.
고객,죄송합니다.
상담사,"아, 그러면 만약 승인 취소를 받아내면 처리되는데 어느 정도 걸립니까?"
고객,"가맹점 취소 후 취소 확정 이메일, 팩스 수신 후 당사의 취소 내역이 접수 및 처리되기까지는 일 이주 정도 소요됩니다."
상담사,승인 취소 확정되었다는 것을 알 수 있는 방법은 무엇인가요?
고객,팩스나 이메일로 받아두시면 됩니다.
상담사,혹시 승인 취소하시려는 상품 결제 시?
고객,결제하시고 받은 영수증 보관 중이신가요?
상담사,"네, 신용카드 결제 시 만약의 분쟁에 대비하기 위해 결제 후 영수증을 꼭 보관해 주세요."
고객,"네, 감사합니다."
상담사,좋은 하루 되세요.
고객,
