Role,Dialogue
고객,해외에서 카드 분실을 했는데 어떻게 해야 하나요?
상담사,해외에서 카드 분실을 했을 경우 즉시 홈페이지나 고객센터로 신고해 주시기 바랍니다.
고객,여기 시차가 있어서요.
상담사,미국 시간 기준으로 몇 시부터 몇 시까지 고객센터 통화 가능한가요?
고객,분실 신고는 24시간 접수 가능합니다.
상담사,"아, 그렇군요."
고객,연락처 좀 알려주시겠어요?
상담사,"해외이용 고객센터 번호는 공공에 공 다시 0000 다시 0000입니다 네, 감사합니다."
고객,혹시 전화하기 전에 어플이나 그런 걸로 카드 정지 좀 시킬 수 있을까요?
상담사,현대카드 앱의 락 앤 리미트 기능을 이용하시면 타인에 의한 카드 부정 사용을 예방할 수 있습니다.
고객,예 감사합니다.
상담사,혹시 정지 적혔다가 찾으면 다시 사용 가능한가요?
고객,네 분실 신고로 인해 일시 정지된 카드는 홈페이지에서 신고 해제 후 다시 이용 가능합니다.
상담사,신고 해제하는 방법 좀 알려주세요.
고객,홈페이지 고객센터에서 고객 상담 문의 도난 분실 신고 해제해서 해제하실 수 있습니다.
상담사,"예, 알겠습니다."
고객,알려주셔서 감사해요.
상담사,다른 문의사항은 없으신가요?
고객,혹시 분실신고를 저 말고 다른 사람이 대신해 줘도 될까요?
상담사,"네, 본인이 아닌 경우에도 신고 가능합니다."
고객,"아, 그럼 친구가 대신 해줘도 되는 거죠?"
상담사,"네 다만 신고시 카드 명의자와의 관계, 신고자의 연락처 등."
고객,기본 사항을 확인하고 있으니 참고해 주시기 바랍니다.
상담사,
