Role,Dialogue
고객,현금 카드를 분실하였습니다.
상담사,"네, 고객님 분실 등록은 하셨나요?"
고객,네 씁니다 재발급해야 되나요?
상담사,"네, 재발급하셔야 합니다."
고객,은행 가서 해야 되나요?
상담사,"네, 가까운 지점에 가서 하시면 됩니다."
고객,제가 미성년자인데 발급이 되나요?
상담사,나이가 몇 살인가요?
고객,17 살입니다.
상담사,직접 가셔서 발급받으실 수 있습니다.
고객,부모님 같이 가야 하나요?
상담사,본인만 방문하셔도 됩니다.
고객,통장 가져가야 하나요?
상담사,신분증만 가져가셔도 됩니다.
고객,학생증 가져가면 되나요?
상담사,학생증에 주민등록번호 나와 있나요?
고객,아니요.
상담사,다른 신분증은 없나요?
고객,청소년증 있어요.
상담사,청소년증만 가져가시면 됩니다.
고객,돈 나오나요?
상담사,"네, 수수료 2000 원 있습니다."
고객,분실해제 등록도 같이 하면 되나요?
상담사,"네, 재발급 시 같이 하시면 됩니다."
고객,체크카드로도 바꿀 수 있나요?
상담사,체크카드는 따로 발급받으셔야 합니다.
고객,"네, 감사합니다."
상담사,
